I finally get to eat!\xfffeIt was a long wait, but now I have it!\xf000븁\x0000
I've come from far-off Karakusa Town\xfffeto experience this flavor!\xf000븁\x0000
The ice cream here!\xfffeIt's super-DUPER popular!!\xf000븁\x0000
Au naturel for the famous shop!\xfffeJust look at this crowd! Amazing!\xf000븁\x0000
Yeah? You can buy\xfffeHiun City's famous ice cream here.\xf000븁\x0000You lining up for it, too?
Well!\xfffeThere is quite a line, though!\xf000븁\x0000But it's definitely tasty,\xfffeso I say it's worth the wait!\xf000븁\x0000
Huh, too crowded for you?\xf000븁\x0000Well, just between you and me...\xfffeWhen it's crowded like today,\xf000븀\x0000it's pretty much always sold out.\xf000븁\x0000
Hm? Here, you can buy\xfffeHiun City's famous Hiun Ice!\xf000븁\x0000But it looks like\xfffethey're already sold out today...\xf000븁\x0000
Hm? Here, you can buy\xfffeHiun City's famous Hiun Ice!\xf000븁\x0000But it looks like\xfffethey're already sold out today...\xf000븀\x0000Come again another day!\xf000븁\x0000
Welcome to the spot for\xfffeHiun City's famous Hiun Ice!\xf000븁\x0000Will you buy one\xfffefor a scant $100?
Huh?! You seriously won't buy?\xfffeBut you know it'll sell out soon!
Thank you very much!\xf000븁\x0000Enjoy the cute color\xfffeand the pure flavor!\xf000븁\x0000
Thank you very much!\xf000븁\x0000...Oh, oh, oh?\xfffeYou don't seem to have enough.\xf000븀\x0000Please come again!\xf000븁\x0000
Thank you very much!\xf000븁\x0000...Oh, oh, oh?\xfffeYour bag seems to be full.\xf000븀\x0000Please come again!\xf000븁\x0000
And after all that waiting in line...\xfffeWell, um, please come again!\xf000븁\x0000
Here, we sell Hiun City's\xfffefamous Hiun Ice!\xf000븁\x0000But the owner figured\xfffewe should close shop for winter...\xf000븀\x0000Please come again when it gets warm!
Buy
Quit
Hiun Atelier
Hiun's Famous Hiun Ice\xfffeOn break for the freezing winter.
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
